## Bcatenin_H Bcatenin_M Cx43_M CXCL12_M CXCR4_H CXCR7_H ERK_H ERK_M FoxO3a_H FoxO3a_M GCSF Gfi1_H GSK3B_H GSK3B_M IL1 lTLR NfkB_H NfkB_M PI3KAkt_H PI3KAkt_M ROS_H ROS_M TLR_H TLR_M VCAM1_M VLA4_H
# Bcatenin_H (GSK3B_H, Bcatenin_H)
0, 1
1, 0
# Bcatenin_M (FoxO3a_M, GSK3B_M, NfkB_M, Bcatenin_M)
0, 0, 1, 0, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 0, 1, 0, 1, 0, 0
0, 0, 1, 0, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 0, 0
0, 0, 1, 0, 0, 1, 1, 0, 1, 0
0, 0, 1, 0, 0, 1, 1, 1, 0, 0
0, 0, 1, 0, 0, 1, 1, 1, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 0, 1, 0, 0
0, 0, 1, 0, 1, 0, 0, 1, 1, 0
0, 0, 1, 0, 1, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 0, 1, 0, 1, 0
0, 0, 1, 0, 1, 0, 1, 1, 0, 0
0, 0, 1, 0, 1, 0, 1, 1, 1, 0
0, 0, 1, 0, 1, 1, 0, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 1, 0, 1, 0, 0
0, 0, 1, 0, 1, 1, 0, 1, 1, 0
0, 0, 1, 0, 1, 1, 1, 0, 0, 0
0, 0, 1, 0, 1, 1, 1, 0, 1, 0
0, 0, 1, 0, 1, 1, 1, 1, 0, 0
0, 0, 1, 0, 1, 1, 1, 1, 1, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 0, 1, 0
0, 0, 1, 1, 0, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 1, 0
0, 0, 1, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 1, 0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0, 1, 1, 0, 0
0, 0, 1, 1, 0, 0, 1, 1, 1, 0
0, 0, 1, 1, 0, 1, 0, 0, 0, 0
0, 0, 1, 1, 0, 1, 0, 0, 1, 0
0, 0, 1, 1, 0, 1, 0, 1, 0, 0
0, 0, 1, 1, 0, 1, 0, 1, 1, 0
0, 0, 1, 1, 0, 1, 1, 0, 0, 0
0, 0, 1, 1, 0, 1, 1, 0, 1, 0
0, 0, 1, 1, 0, 1, 1, 1, 0, 0
0, 0, 1, 1, 0, 1, 1, 1, 1, 0
0, 0, 1, 1, 1, 0, 0, 0, 0, 0
0, 0, 1, 1, 1, 0, 0, 0, 1, 0
0, 0, 1, 1, 1, 0, 0, 1, 0, 0
0, 0, 1, 1, 1, 0, 0, 1, 1, 0
0, 0, 1, 1, 1, 0, 1, 0, 0, 0
0, 0, 1, 1, 1, 0, 1, 0, 1, 0
0, 0, 1, 1, 1, 0, 1, 1, 0, 0
0, 0, 1, 1, 1, 0, 1, 1, 1, 0
0, 0, 1, 1, 1, 1, 0, 0, 0, 0
0, 0, 1, 1, 1, 1, 0, 0, 1, 0
0, 0, 1, 1, 1, 1, 0, 1, 0, 0
0, 0, 1, 1, 1, 1, 0, 1, 1, 0
0, 0, 1, 1, 1, 1, 1, 0, 0, 0
0, 0, 1, 1, 1, 1, 1, 0, 1, 0
0, 0, 1, 1, 1, 1, 1, 1, 0, 0
0, 0, 1, 1, 1, 1, 1, 1, 1, 0
0, 1, 0, 0, 0, 0, 0, 0, 0, 1
0, 1, 0, 0, 0, 0, 0, 0, 1, 1
0, 1, 0, 0, 0, 0, 0, 1, 0, 1
0, 1, 0, 0, 0, 0, 0, 1, 1, 1
0, 1, 0, 0, 0, 0, 1, 0, 0, 1
0, 1, 0, 0, 0, 0, 1, 0, 1, 1
0, 1, 0, 0, 0, 0, 1, 1, 0, 1
0, 1, 0, 0, 0, 0, 1, 1, 1, 1
0, 1, 0, 0, 0, 1, 0, 0, 0, 1
0, 1, 0, 0, 0, 1, 0, 0, 1, 1
0, 1, 0, 0, 0, 1, 0, 1, 0, 1
0, 1, 0, 0, 0, 1, 0, 1, 1, 1
0, 1, 0, 0, 0, 1, 1, 0, 0, 1
0, 1, 0, 0, 0, 1, 1, 0, 1, 1
0, 1, 0, 0, 0, 1, 1, 1, 0, 1
0, 1, 0, 0, 0, 1, 1, 1, 1, 1
0, 1, 0, 0, 1, 0, 0, 0, 0, 0
0, 1, 0, 0, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 1, 0, 0, 1, 0, 0
0, 1, 0, 0, 1, 0, 0, 1, 1, 0
0, 1, 0, 0, 1, 0, 1, 0, 0, 0
0, 1, 0, 0, 1, 0, 1, 0, 1, 0
0, 1, 0, 0, 1, 0, 1, 1, 0, 0
0, 1, 0, 0, 1, 0, 1, 1, 1, 0
0, 1, 0, 0, 1, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 1, 0, 0, 1, 0
0, 1, 0, 0, 1, 1, 0, 1, 0, 0
0, 1, 0, 0, 1, 1, 0, 1, 1, 0
0, 1, 0, 0, 1, 1, 1, 0, 0, 0
0, 1, 0, 0, 1, 1, 1, 0, 1, 0
0, 1, 0, 0, 1, 1, 1, 1, 0, 0
0, 1, 0, 0, 1, 1, 1, 1, 1, 0
0, 1, 0, 1, 0, 0, 0, 0, 0, 1
0, 1, 0, 1, 0, 0, 0, 0, 1, 1
0, 1, 0, 1, 0, 0, 0, 1, 0, 1
0, 1, 0, 1, 0, 0, 0, 1, 1, 1
0, 1, 0, 1, 0, 0, 1, 0, 0, 1
0, 1, 0, 1, 0, 0, 1, 0, 1, 1
0, 1, 0, 1, 0, 0, 1, 1, 0, 1
0, 1, 0, 1, 0, 0, 1, 1, 1, 1
0, 1, 0, 1, 0, 1, 0, 0, 0, 1
0, 1, 0, 1, 0, 1, 0, 0, 1, 1
0, 1, 0, 1, 0, 1, 0, 1, 0, 1
0, 1, 0, 1, 0, 1, 0, 1, 1, 1
0, 1, 0, 1, 0, 1, 1, 0, 0, 1
0, 1, 0, 1, 0, 1, 1, 0, 1, 1
0, 1, 0, 1, 0, 1, 1, 1, 0, 1
0, 1, 0, 1, 0, 1, 1, 1, 1, 1
0, 1, 0, 1, 1, 0, 0, 0, 0, 0
0, 1, 0, 1, 1, 0, 0, 0, 1, 0
0, 1, 0, 1, 1, 0, 0, 1, 0, 0
0, 1, 0, 1, 1, 0, 0, 1, 1, 0
0, 1, 0, 1, 1, 0, 1, 0, 0, 0
0, 1, 0, 1, 1, 0, 1, 0, 1, 0
0, 1, 0, 1, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 1, 0, 1, 1, 1, 0
0, 1, 0, 1, 1, 1, 0, 0, 0, 0
0, 1, 0, 1, 1, 1, 0, 0, 1, 0
0, 1, 0, 1, 1, 1, 0, 1, 0, 0
0, 1, 0, 1, 1, 1, 0, 1, 1, 0
0, 1, 0, 1, 1, 1, 1, 0, 0, 0
0, 1, 0, 1, 1, 1, 1, 0, 1, 0
0, 1, 0, 1, 1, 1, 1, 1, 0, 0
0, 1, 0, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 1, 0, 0, 0, 0, 0, 1, 0
0, 1, 1, 0, 0, 0, 0, 1, 0, 0
0, 1, 1, 0, 0, 0, 0, 1, 1, 0
0, 1, 1, 0, 0, 0, 1, 0, 0, 0
0, 1, 1, 0, 0, 0, 1, 0, 1, 0
0, 1, 1, 0, 0, 0, 1, 1, 0, 0
0, 1, 1, 0, 0, 0, 1, 1, 1, 0
0, 1, 1, 0, 0, 1, 0, 0, 0, 0
0, 1, 1, 0, 0, 1, 0, 0, 1, 0
0, 1, 1, 0, 0, 1, 0, 1, 0, 0
0, 1, 1, 0, 0, 1, 0, 1, 1, 0
0, 1, 1, 0, 0, 1, 1, 0, 0, 0
0, 1, 1, 0, 0, 1, 1, 0, 1, 0
0, 1, 1, 0, 0, 1, 1, 1, 0, 0
0, 1, 1, 0, 0, 1, 1, 1, 1, 0
0, 1, 1, 0, 1, 0, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 0, 0, 1, 0
0, 1, 1, 0, 1, 0, 0, 1, 0, 0
0, 1, 1, 0, 1, 0, 0, 1, 1, 0
0, 1, 1, 0, 1, 0, 1, 0, 0, 0
0, 1, 1, 0, 1, 0, 1, 0, 1, 0
0, 1, 1, 0, 1, 0, 1, 1, 0, 0
0, 1, 1, 0, 1, 0, 1, 1, 1, 0
0, 1, 1, 0, 1, 1, 0, 0, 0, 0
0, 1, 1, 0, 1, 1, 0, 0, 1, 0
0, 1, 1, 0, 1, 1, 0, 1, 0, 0
0, 1, 1, 0, 1, 1, 0, 1, 1, 0
0, 1, 1, 0, 1, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1, 1, 0, 1, 0
0, 1, 1, 0, 1, 1, 1, 1, 0, 0
0, 1, 1, 0, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 0, 0, 0, 0, 0, 0
0, 1, 1, 1, 0, 0, 0, 0, 1, 0
0, 1, 1, 1, 0, 0, 0, 1, 0, 0
0, 1, 1, 1, 0, 0, 0, 1, 1, 0
0, 1, 1, 1, 0, 0, 1, 0, 0, 0
0, 1, 1, 1, 0, 0, 1, 0, 1, 0
0, 1, 1, 1, 0, 0, 1, 1, 0, 0
0, 1, 1, 1, 0, 0, 1, 1, 1, 0
0, 1, 1, 1, 0, 1, 0, 0, 0, 0
0, 1, 1, 1, 0, 1, 0, 0, 1, 0
0, 1, 1, 1, 0, 1, 0, 1, 0, 0
0, 1, 1, 1, 0, 1, 0, 1, 1, 0
0, 1, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 1, 0, 1, 0
0, 1, 1, 1, 0, 1, 1, 1, 0, 0
0, 1, 1, 1, 0, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 0, 0, 0, 0, 0
0, 1, 1, 1, 1, 0, 0, 0, 1, 0
0, 1, 1, 1, 1, 0, 0, 1, 0, 0
0, 1, 1, 1, 1, 0, 0, 1, 1, 0
0, 1, 1, 1, 1, 0, 1, 0, 0, 0
0, 1, 1, 1, 1, 0, 1, 0, 1, 0
0, 1, 1, 1, 1, 0, 1, 1, 0, 0
0, 1, 1, 1, 1, 0, 1, 1, 1, 0
0, 1, 1, 1, 1, 1, 0, 0, 0, 0
0, 1, 1, 1, 1, 1, 0, 0, 1, 0
0, 1, 1, 1, 1, 1, 0, 1, 0, 0
0, 1, 1, 1, 1, 1, 0, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 1, 1, 1, 0, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 0, 0, 0, 1, 0, 1
1, 0, 0, 0, 0, 0, 0, 1, 1, 1
1, 0, 0, 0, 0, 0, 1, 0, 0, 1
1, 0, 0, 0, 0, 0, 1, 0, 1, 1
1, 0, 0, 0, 0, 0, 1, 1, 0, 1
1, 0, 0, 0, 0, 0, 1, 1, 1, 1
1, 0, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 0, 0, 1, 0, 0, 1, 1
1, 0, 0, 0, 0, 1, 0, 1, 0, 1
1, 0, 0, 0, 0, 1, 0, 1, 1, 1
1, 0, 0, 0, 0, 1, 1, 0, 0, 1
1, 0, 0, 0, 0, 1, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 1, 1, 0, 1
1, 0, 0, 0, 0, 1, 1, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 0, 0, 0, 1, 0
1, 0, 0, 0, 1, 0, 0, 1, 0, 0
1, 0, 0, 0, 1, 0, 0, 1, 1, 0
1, 0, 0, 0, 1, 0, 1, 0, 0, 0
1, 0, 0, 0, 1, 0, 1, 0, 1, 0
1, 0, 0, 0, 1, 0, 1, 1, 0, 0
1, 0, 0, 0, 1, 0, 1, 1, 1, 0
1, 0, 0, 0, 1, 1, 0, 0, 0, 0
1, 0, 0, 0, 1, 1, 0, 0, 1, 0
1, 0, 0, 0, 1, 1, 0, 1, 0, 0
1, 0, 0, 0, 1, 1, 0, 1, 1, 0
1, 0, 0, 0, 1, 1, 1, 0, 0, 0
1, 0, 0, 0, 1, 1, 1, 0, 1, 0
1, 0, 0, 0, 1, 1, 1, 1, 0, 0
1, 0, 0, 0, 1, 1, 1, 1, 1, 0
1, 0, 0, 1, 0, 0, 0, 0, 0, 1
1, 0, 0, 1, 0, 0, 0, 0, 1, 1
1, 0, 0, 1, 0, 0, 0, 1, 0, 1
1, 0, 0, 1, 0, 0, 0, 1, 1, 1
1, 0, 0, 1, 0, 0, 1, 0, 0, 1
1, 0, 0, 1, 0, 0, 1, 0, 1, 1
1, 0, 0, 1, 0, 0, 1, 1, 0, 1
1, 0, 0, 1, 0, 0, 1, 1, 1, 1
1, 0, 0, 1, 0, 1, 0, 0, 0, 1
1, 0, 0, 1, 0, 1, 0, 0, 1, 1
1, 0, 0, 1, 0, 1, 0, 1, 0, 1
1, 0, 0, 1, 0, 1, 0, 1, 1, 1
1, 0, 0, 1, 0, 1, 1, 0, 0, 1
1, 0, 0, 1, 0, 1, 1, 0, 1, 1
1, 0, 0, 1, 0, 1, 1, 1, 0, 1
1, 0, 0, 1, 0, 1, 1, 1, 1, 1
1, 0, 0, 1, 1, 0, 0, 0, 0, 0
1, 0, 0, 1, 1, 0, 0, 0, 1, 0
1, 0, 0, 1, 1, 0, 0, 1, 0, 0
1, 0, 0, 1, 1, 0, 0, 1, 1, 0
1, 0, 0, 1, 1, 0, 1, 0, 0, 0
1, 0, 0, 1, 1, 0, 1, 0, 1, 0
1, 0, 0, 1, 1, 0, 1, 1, 0, 0
1, 0, 0, 1, 1, 0, 1, 1, 1, 0
1, 0, 0, 1, 1, 1, 0, 0, 0, 0
1, 0, 0, 1, 1, 1, 0, 0, 1, 0
1, 0, 0, 1, 1, 1, 0, 1, 0, 0
1, 0, 0, 1, 1, 1, 0, 1, 1, 0
1, 0, 0, 1, 1, 1, 1, 0, 0, 0
1, 0, 0, 1, 1, 1, 1, 0, 1, 0
1, 0, 0, 1, 1, 1, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 1, 1, 1, 0
1, 0, 1, 0, 0, 0, 0, 0, 0, 0
1, 0, 1, 0, 0, 0, 0, 0, 1, 0
1, 0, 1, 0, 0, 0, 0, 1, 0, 0
1, 0, 1, 0, 0, 0, 0, 1, 1, 0
1, 0, 1, 0, 0, 0, 1, 0, 0, 0
1, 0, 1, 0, 0, 0, 1, 0, 1, 0
1, 0, 1, 0, 0, 0, 1, 1, 0, 0
1, 0, 1, 0, 0, 0, 1, 1, 1, 0
1, 0, 1, 0, 0, 1, 0, 0, 0, 0
1, 0, 1, 0, 0, 1, 0, 0, 1, 0
1, 0, 1, 0, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 0, 1, 0, 1, 1, 0
1, 0, 1, 0, 0, 1, 1, 0, 0, 0
1, 0, 1, 0, 0, 1, 1, 0, 1, 0
1, 0, 1, 0, 0, 1, 1, 1, 0, 0
1, 0, 1, 0, 0, 1, 1, 1, 1, 0
1, 0, 1, 0, 1, 0, 0, 0, 0, 0
1, 0, 1, 0, 1, 0, 0, 0, 1, 0
1, 0, 1, 0, 1, 0, 0, 1, 0, 0
1, 0, 1, 0, 1, 0, 0, 1, 1, 0
1, 0, 1, 0, 1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 0, 1, 0, 1, 0
1, 0, 1, 0, 1, 0, 1, 1, 0, 0
1, 0, 1, 0, 1, 0, 1, 1, 1, 0
1, 0, 1, 0, 1, 1, 0, 0, 0, 0
1, 0, 1, 0, 1, 1, 0, 0, 1, 0
1, 0, 1, 0, 1, 1, 0, 1, 0, 0
1, 0, 1, 0, 1, 1, 0, 1, 1, 0
1, 0, 1, 0, 1, 1, 1, 0, 0, 0
1, 0, 1, 0, 1, 1, 1, 0, 1, 0
1, 0, 1, 0, 1, 1, 1, 1, 0, 0
1, 0, 1, 0, 1, 1, 1, 1, 1, 0
1, 0, 1, 1, 0, 0, 0, 0, 0, 0
1, 0, 1, 1, 0, 0, 0, 0, 1, 0
1, 0, 1, 1, 0, 0, 0, 1, 0, 0
1, 0, 1, 1, 0, 0, 0, 1, 1, 0
1, 0, 1, 1, 0, 0, 1, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 0, 1, 0
1, 0, 1, 1, 0, 0, 1, 1, 0, 0
1, 0, 1, 1, 0, 0, 1, 1, 1, 0
1, 0, 1, 1, 0, 1, 0, 0, 0, 0
1, 0, 1, 1, 0, 1, 0, 0, 1, 0
1, 0, 1, 1, 0, 1, 0, 1, 0, 0
1, 0, 1, 1, 0, 1, 0, 1, 1, 0
1, 0, 1, 1, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 1, 1, 0, 1, 0
1, 0, 1, 1, 0, 1, 1, 1, 0, 0
1, 0, 1, 1, 0, 1, 1, 1, 1, 0
1, 0, 1, 1, 1, 0, 0, 0, 0, 0
1, 0, 1, 1, 1, 0, 0, 0, 1, 0
1, 0, 1, 1, 1, 0, 0, 1, 0, 0
1, 0, 1, 1, 1, 0, 0, 1, 1, 0
1, 0, 1, 1, 1, 0, 1, 0, 0, 0
1, 0, 1, 1, 1, 0, 1, 0, 1, 0
1, 0, 1, 1, 1, 0, 1, 1, 0, 0
1, 0, 1, 1, 1, 0, 1, 1, 1, 0
1, 0, 1, 1, 1, 1, 0, 0, 0, 0
1, 0, 1, 1, 1, 1, 0, 0, 1, 0
1, 0, 1, 1, 1, 1, 0, 1, 0, 0
1, 0, 1, 1, 1, 1, 0, 1, 1, 0
1, 0, 1, 1, 1, 1, 1, 0, 0, 0
1, 0, 1, 1, 1, 1, 1, 0, 1, 0
1, 0, 1, 1, 1, 1, 1, 1, 0, 0
1, 0, 1, 1, 1, 1, 1, 1, 1, 0
1, 1, 0, 0, 0, 0, 0, 0, 0, 1
1, 1, 0, 0, 0, 0, 0, 0, 1, 1
1, 1, 0, 0, 0, 0, 0, 1, 0, 1
1, 1, 0, 0, 0, 0, 0, 1, 1, 1
1, 1, 0, 0, 0, 0, 1, 0, 0, 1
1, 1, 0, 0, 0, 0, 1, 0, 1, 1
1, 1, 0, 0, 0, 0, 1, 1, 0, 1
1, 1, 0, 0, 0, 0, 1, 1, 1, 1
1, 1, 0, 0, 0, 1, 0, 0, 0, 1
1, 1, 0, 0, 0, 1, 0, 0, 1, 1
1, 1, 0, 0, 0, 1, 0, 1, 0, 1
1, 1, 0, 0, 0, 1, 0, 1, 1, 1
1, 1, 0, 0, 0, 1, 1, 0, 0, 1
1, 1, 0, 0, 0, 1, 1, 0, 1, 1
1, 1, 0, 0, 0, 1, 1, 1, 0, 1
1, 1, 0, 0, 0, 1, 1, 1, 1, 1
1, 1, 0, 0, 1, 0, 0, 0, 0, 0
1, 1, 0, 0, 1, 0, 0, 0, 1, 0
1, 1, 0, 0, 1, 0, 0, 1, 0, 0
1, 1, 0, 0, 1, 0, 0, 1, 1, 0
1, 1, 0, 0, 1, 0, 1, 0, 0, 0
1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1, 1, 0, 0, 1, 0, 1, 1, 0, 0
1, 1, 0, 0, 1, 0, 1, 1, 1, 0
1, 1, 0, 0, 1, 1, 0, 0, 0, 0
1, 1, 0, 0, 1, 1, 0, 0, 1, 0
1, 1, 0, 0, 1, 1, 0, 1, 0, 0
1, 1, 0, 0, 1, 1, 0, 1, 1, 0
1, 1, 0, 0, 1, 1, 1, 0, 0, 0
1, 1, 0, 0, 1, 1, 1, 0, 1, 0
1, 1, 0, 0, 1, 1, 1, 1, 0, 0
1, 1, 0, 0, 1, 1, 1, 1, 1, 0
1, 1, 0, 1, 0, 0, 0, 0, 0, 1
1, 1, 0, 1, 0, 0, 0, 0, 1, 1
1, 1, 0, 1, 0, 0, 0, 1, 0, 1
1, 1, 0, 1, 0, 0, 0, 1, 1, 1
1, 1, 0, 1, 0, 0, 1, 0, 0, 1
1, 1, 0, 1, 0, 0, 1, 0, 1, 1
1, 1, 0, 1, 0, 0, 1, 1, 0, 1
1, 1, 0, 1, 0, 0, 1, 1, 1, 1
1, 1, 0, 1, 0, 1, 0, 0, 0, 1
1, 1, 0, 1, 0, 1, 0, 0, 1, 1
1, 1, 0, 1, 0, 1, 0, 1, 0, 1
1, 1, 0, 1, 0, 1, 0, 1, 1, 1
1, 1, 0, 1, 0, 1, 1, 0, 0, 1
1, 1, 0, 1, 0, 1, 1, 0, 1, 1
1, 1, 0, 1, 0, 1, 1, 1, 0, 1
1, 1, 0, 1, 0, 1, 1, 1, 1, 1
1, 1, 0, 1, 1, 0, 0, 0, 0, 0
1, 1, 0, 1, 1, 0, 0, 0, 1, 0
1, 1, 0, 1, 1, 0, 0, 1, 0, 0
1, 1, 0, 1, 1, 0, 0, 1, 1, 0
1, 1, 0, 1, 1, 0, 1, 0, 0, 0
